M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fspin,Fsnorm,Fsint
3.623434649,0.194727141,0.400571623,-0.586970684,0.04504447,-0.247821166,0.591002506,0.327807307,0.445345563,8.906911265
3.146825064,0.386859684,-0.039600039,-0.565998917,-0.278542845,0.46420069,-0.569207896,0.329348686,0.446718159,8.934363186
3.286875125,0.277401606,-0.049261631,-0.516529324,0.610871198,0.488273385,-0.090544765,0.330525128,0.447765779,8.955315588
7.187413175,3.11E-08,-2.70E-08,1.55E-06,-5.69E-09,8.23E-09,-2.45E-05,0.330594649,0.447827688,8.956553755
3.553501668,-0.251855625,-0.251044692,-0.50668273,-0.659735059,-0.169445084,-0.09396053,0.330737401,0.447954808,8.959096165
2.606006927,-0.019452561,-0.015405254,-0.505854701,0.020090549,-0.026869584,-0.794446546,0.332462812,0.449491285,8.989825691
3.000126477,0.30068287,0,-0.52078444,-0.60099157,0,0,0.332994247,0.449964527,8.999290534
6.999970704,-3.19E-12,1.19E-11,6.90E-07,-9.46E-13,-1.08E-12,5.82E-07,0.336515424,0.45310013,9.062002607
7.000001056,-7.64E-09,-7.47E-10,3.78E-06,-3.29E-09,-1.23E-08,-2.03E-07,0.33654964,0.4531306,9.062611993
7.0000152,0,0,0,0,0,0,0.33669567,0.453260639,9.065212784
3.83267336,-0.04003421,0.344232176,-0.461901166,0.046920774,0.5899825,0.432593006,0.338038121,0.45445609,9.089121802
3.721955095,0.461468287,0.076832768,-0.517778534,-0.427321943,-0.277425134,-0.168769969,0.339835398,0.456056563,9.121131259
3.692607775,-0.206283348,-0.349739825,-0.4566615,-0.338146067,0.40029215,-0.296028599,0.341152307,0.457229269,9.144585375
2.999681618,-1.32E-07,4.97E-08,-0.400039352,-4.96E-08,-8.26E-09,-0.599839274,0.341246943,0.457313542,9.14627084
2.999944547,1.00E-07,-1.82E-07,-0.399965799,5.05E-08,-5.64E-08,-0.599851017,0.341259079,0.457324349,9.146486982
3.000608753,0,0,0.800493258,0,0,-0.500054862,0.342873711,0.458762177,9.175243536
2.500106428,0,0,-0.60133703,-0.6010362,0,0,0.343854256,0.459635351,9.192707018
7.997928731,-3.77E-07,-9.40E-07,-0.900407295,1.50E-07,-9.14E-08,-2.14E-05,0.34421724,0.459958588,9.199171754
2.999972515,0,0,-0.40012381,0,0,-0.39993486,0.34815433,0.463464561,9.269291226
