M1/M2,Spin1x,Spin1y,Spin1z,Spin2x,Spin2y,Spin2z,Fmass,Fmnorm,Fmint
0.999991701,0.07471454,0.796342911,0.013215741,-0.133768193,0.496590625,0.61277381,0.937566472,0.476378182,9.527563631
2.412268683,0,0,1.06E-06,0,0,0.851444156,0.937626037,0.476896105,9.537922108
1.000007972,1.99E-08,1.51E-08,0.506666395,-2.42E-08,-1.67E-08,0.288020992,0.937693649,0.477483999,9.549679975
1.410019236,-2.42E-09,-2.56E-08,0.500003562,-6.92E-10,-1.97E-08,0.399998684,0.937730735,0.477806465,9.556129307
1.333250612,-0.036887491,0.798241396,0.036907196,0.083778235,-0.0311351,0.794877506,0.937946636,0.479683747,9.593674938
1.166868136,-0.007432989,0.031018877,0.662781437,0.000263019,-1.43E-05,0.054976875,0.937948397,0.479699059,9.59398118
1.363362257,0.634235998,0.12434058,0.351745964,-0.461890958,-0.181521479,0.455635514,0.938040251,0.480497739,9.609954781
1.185974008,-6.46E-08,-7.58E-09,0.419942418,-4.12E-08,-1.15E-08,0.380019412,0.938245922,0.48228607,9.645721394
1.324687241,-0.229875151,0.633907986,0.142727305,0.075560615,-0.002048803,0.780836578,0.93841282,0.483737265,9.674745302
1.000039032,-0.720782216,-0.336271892,0.084364814,-0.198995727,0.568098957,0.526920407,0.938498708,0.48448407,9.689681403
1.250024727,0,0,0.40010123,0,0,0.40008435,0.9385232,0.484697031,9.693940613
0.999963269,0.654164621,-0.459860022,0.021174116,0.486901614,-0.113782725,0.624413279,0.938607469,0.485429758,9.708595166
1.00999243,1.89E-08,1.93E-08,0.249968491,-2.46E-08,-1.77E-08,0.499963472,0.93872731,0.486471788,9.729435765
1.116461287,-0.005794141,0.017860517,0.037713859,0.001924376,-0.000205577,0.793201121,0.938814509,0.487229993,9.744599852
0.999977243,0.641923654,-0.476913088,-0.018310486,-0.2405951,0.489892171,0.584871558,0.938983982,0.488703578,9.774071557
1.379279717,-0.191215078,0.57461739,0.324622911,0.045069938,-0.000389079,0.486934058,0.938998596,0.488830648,9.776612962
2.997582595,0,0,0.500059266,0,0,0.851314826,0.939041704,0.489205477,9.784109533
